Source,Destination,Info,Label
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'Broadcast',b'Beacon frame  Flags BI100 SSIDgyuho',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'TPLink_02b6fc 005f6702b6fc TA',b'Alcatel_194fb1 dc0856194fb1 RA',b'80211 Block Ack Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'3a1a525af332 3a1a525af332 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'3a1a525af332 3a1a525af332 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb3 dc0856194fb3 RA',b'Acknowledgement Flags',0
b'X',b'3a1a525af332 3a1a525af332 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'TPLink_02b6fc 005f6702b6fc TA',b'Alcatel_194fb1 dc0856194fb1 RA',b'80211 Block Ack Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Probe Response  Flags BI100 SSIDgyuho',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'EFMNetwo_455884 88366c455884 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb2 dc0856194fb2 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb3 dc0856194fb3 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb2 dc0856194fb2 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb3 dc0856194fb3 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
